report_id,facility_type,region,inspection_report,co_risk_level
RPT-0083,Steel mill,South,Site 83: Steel mill outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0084,Chemical refinery,East,Inspection RPT-0084: Chemical refinery stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0085,Chemical refinery,West,Audit 85 at Chemical refinery: CO reached 45 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0086,Chemical refinery,East,CRITICAL RPT-0086: Chemical refinery CO peaked at 156 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0087,Foundry,West,Audit 87 at Foundry: CO reached 47 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0088,Power station,North,Inspection RPT-0088: Power station stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0089,Cement plant,East,Audit 89 at Cement plant: CO reached 49 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0090,Steel mill,West,Inspection RPT-0090: Steel mill stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0091,Steel mill,West,Site 91: Steel mill outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0092,Foundry,West,Inspection RPT-0092: Foundry stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0093,Foundry,North,Emergency 93: Foundry reading 163 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0094,Steel mill,South,Inspection RPT-0094: Steel mill stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0095,Steel mill,West,Audit 95 at Steel mill: CO reached 40 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0096,Chemical refinery,East,Inspection RPT-0096: Chemical refinery stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0097,Power station,South,Audit 97 at Power station: CO reached 42 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0098,Foundry,North,CRITICAL RPT-0098: Foundry CO peaked at 168 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0099,Steel mill,East,Audit 99 at Steel mill: CO reached 44 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0100,Power station,Central,RPT-0100: Power station intermittent CO spikes to 45 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0101,Chemical refinery,South,Audit 101 at Chemical refinery: CO reached 46 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0102,Foundry,Central,Inspection RPT-0102: Foundry stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0103,Power station,Central,Audit 103 at Power station: CO reached 48 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0104,Power station,Central,RPT-0104: Power station intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0105,Chemical refinery,West,Emergency 105: Chemical refinery reading 175 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0106,Foundry,North,Inspection RPT-0106: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0107,Power station,West,Site 107: Power station outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0108,Chemical refinery,North,Inspection RPT-0108: Chemical refinery stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0109,Steel mill,South,Audit 109 at Steel mill: CO reached 39 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0110,Chemical refinery,Central,Inspection RPT-0110: Chemical refinery stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0111,Steel mill,West,Audit 111 at Steel mill: CO reached 41 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0112,Power station,West,Inspection RPT-0112: Power station stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0113,Chemical refinery,North,Audit 113 at Chemical refinery: CO reached 43 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0114,Foundry,West,Inspection RPT-0114: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0115,Foundry,South,Audit 115 at Foundry: CO reached 45 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0116,Cement plant,West,RPT-0116: Cement plant intermittent CO spikes to 46 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0117,Power station,North,Site 117: Power station outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0118,Power station,Central,RPT-0118: Power station intermittent CO spikes to 48 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0119,Foundry,East,Emergency 119: Foundry reading 189 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0120,Chemical refinery,Central,RPT-0120: Chemical refinery intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0121,Chemical refinery,North,Audit 121 at Chemical refinery: CO reached 36 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0122,Cement plant,North,Inspection RPT-0122: Cement plant stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0123,Power station,East,Audit 123 at Power station: CO reached 38 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0124,Foundry,East,RPT-0124: Foundry intermittent CO spikes to 39 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0125,Steel mill,Central,Site 125: Steel mill outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0126,Steel mill,North,Inspection RPT-0126: Steel mill stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0127,Chemical refinery,West,Site 127: Chemical refinery outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0128,Steel mill,South,Inspection RPT-0128: Steel mill stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0129,Steel mill,East,Audit 129 at Steel mill: CO reached 44 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0130,Power station,West,Inspection RPT-0130: Power station stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0131,Chemical refinery,North,Audit 131 at Chemical refinery: CO reached 46 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0132,Chemical refinery,South,Inspection RPT-0132: Chemical refinery stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0133,Steel mill,West,Site 133: Steel mill outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0134,Steel mill,South,RPT-0134: Steel mill intermittent CO spikes to 49 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0135,Cement plant,East,Emergency 135: Cement plant reading 205 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0136,Power station,North,CRITICAL RPT-0136: Power station CO peaked at 206 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0137,Cement plant,West,Site 137: Cement plant outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0138,Cement plant,North,RPT-0138: Cement plant intermittent CO spikes to 38 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0139,Cement plant,North,Audit 139 at Cement plant: CO reached 39 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0140,Foundry,South,RPT-0140: Foundry intermittent CO spikes to 40 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0141,Power station,East,Site 141: Power station outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0142,Chemical refinery,North,Inspection RPT-0142: Chemical refinery stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0143,Foundry,East,Audit 143 at Foundry: CO reached 43 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0144,Power station,South,RPT-0144: Power station intermittent CO spikes to 44 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0145,Chemical refinery,South,Emergency 145: Chemical refinery reading 215 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0146,Steel mill,West,Inspection RPT-0146: Steel mill stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0147,Chemical refinery,East,Site 147: Chemical refinery outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0148,Foundry,South,Inspection RPT-0148: Foundry stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0149,Steel mill,Central,Emergency 149: Steel mill reading 219 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0150,Power station,South,RPT-0150: Power station intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0151,Chemical refinery,South,Emergency 151: Chemical refinery reading 221 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0152,Cement plant,Central,RPT-0152: Cement plant intermittent CO spikes to 37 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0153,Chemical refinery,North,Emergency 153: Chemical refinery reading 223 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0154,Steel mill,South,Inspection RPT-0154: Steel mill stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0155,Foundry,South,Emergency 155: Foundry reading 225 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0156,Power station,Central,Inspection RPT-0156: Power station stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0157,Chemical refinery,West,Emergency 157: Chemical refinery reading 227 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0158,Cement plant,West,Inspection RPT-0158: Cement plant stack CO averaged 16 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0159,Chemical refinery,East,Audit 159 at Chemical refinery: CO reached 44 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0160,Steel mill,West,RPT-0160: Steel mill intermittent CO spikes to 45 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0161,Foundry,West,Site 161: Foundry outlet CO 11 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0162,Cement plant,Central,RPT-0162: Cement plant intermittent CO spikes to 47 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0163,Chemical refinery,West,Site 163: Chemical refinery outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0164,Chemical refinery,Central,CRITICAL RPT-0164: Chemical refinery CO peaked at 154 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0165,Foundry,Central,Site 165: Foundry outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0166,Cement plant,East,RPT-0166: Cement plant intermittent CO spikes to 36 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0167,Foundry,North,Site 167: Foundry outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0168,Foundry,South,Inspection RPT-0168: Foundry stack CO averaged 10 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0169,Steel mill,East,Audit 169 at Steel mill: CO reached 39 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0170,Foundry,North,Inspection RPT-0170: Foundry stack CO averaged 12 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0171,Foundry,South,Emergency 171: Foundry reading 161 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0172,Foundry,Central,RPT-0172: Foundry intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0173,Cement plant,East,Audit 173 at Cement plant: CO reached 43 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0174,Power station,North,RPT-0174: Power station intermittent CO spikes to 44 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0175,Steel mill,North,Audit 175 at Steel mill: CO reached 45 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0176,Steel mill,South,CRITICAL RPT-0176: Steel mill CO peaked at 166 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0177,Cement plant,South,Emergency 177: Cement plant reading 167 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0178,Steel mill,North,RPT-0178: Steel mill intermittent CO spikes to 48 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0179,Steel mill,West,Audit 179 at Steel mill: CO reached 49 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0180,Power station,Central,RPT-0180: Power station intermittent CO spikes to 35 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0181,Chemical refinery,South,Site 181: Chemical refinery outlet CO 15 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0182,Foundry,North,RPT-0182: Foundry intermittent CO spikes to 37 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0183,Cement plant,North,Audit 183 at Cement plant: CO reached 38 ppm when secondary burner cycled. Filters overdue by 8 weeks.,Medium
RPT-0184,Power station,North,CRITICAL RPT-0184: Power station CO peaked at 174 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0185,Chemical refinery,West,Audit 185 at Chemical refinery: CO reached 40 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0186,Chemical refinery,North,CRITICAL RPT-0186: Chemical refinery CO peaked at 176 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0187,Foundry,North,Site 187: Foundry outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0188,Steel mill,North,CRITICAL RPT-0188: Steel mill CO peaked at 178 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0189,Cement plant,North,Emergency 189: Cement plant reading 179 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0190,Steel mill,Central,RPT-0190: Steel mill intermittent CO spikes to 45 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0191,Power station,Central,Site 191: Power station outlet CO 17 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0192,Cement plant,South,RPT-0192: Cement plant intermittent CO spikes to 47 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0193,Foundry,West,Audit 193 at Foundry: CO reached 48 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0194,Steel mill,Central,CRITICAL RPT-0194: Steel mill CO peaked at 184 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0195,Chemical refinery,West,Audit 195 at Chemical refinery: CO reached 35 ppm when secondary burner cycled. Filters overdue by 4 weeks.,Medium
RPT-0196,Steel mill,South,Inspection RPT-0196: Steel mill stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0197,Foundry,East,Audit 197 at Foundry: CO reached 37 ppm when secondary burner cycled. Filters overdue by 6 weeks.,Medium
RPT-0198,Cement plant,Central,RPT-0198: Cement plant intermittent CO spikes to 38 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0199,Power station,East,Emergency 199: Power station reading 189 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
RPT-0200,Foundry,East,CRITICAL RPT-0200: Foundry CO peaked at 190 ppm. Failed stack test; cracked heat exchanger identified.,High
RPT-0201,Chemical refinery,West,Audit 201 at Chemical refinery: CO reached 41 ppm when secondary burner cycled. Filters overdue by 2 weeks.,Medium
RPT-0202,Chemical refinery,Central,RPT-0202: Chemical refinery intermittent CO spikes to 42 ppm during shift change. Aging ductwork may restrict flow.,Medium
RPT-0203,Foundry,Central,Site 203: Foundry outlet CO 13 ppm. Quarterly burner tuning complete. Ventilation adequate per EPA limits.,Low
RPT-0204,Chemical refinery,West,Inspection RPT-0204: Chemical refinery stack CO averaged 14 ppm with stable combustion. Scrubbers serviced; no visible leaks.,Low
RPT-0205,Power station,North,Emergency 205: Power station reading 195 ppm CO in enclosed bay. Sensors tripped; ventilation inadequate.,High
