email_id,sender_domain,email_body,phishing_label
EM-0038,university.edu,Project kickoff notes for initiative P-38 are in /shared/projects/38. Please review action items by EOD.,Legitimate
EM-0039,university.edu,IT ticket #1039 resolved. Your laptop patch KB-39 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0040,bank-verify-now.io,URGENT EM-0040: Account user-40 suspended in 41 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0041,secure-login-update.net,Invoice INV-8041 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0042,hr-portal.org,Reminder REF-42: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0043,university.edu,Project kickoff notes for initiative P-43 are in /shared/projects/43. Please review action items by EOD.,Legitimate
EM-0044,university.edu,IT ticket #1044 resolved. Your laptop patch KB-44 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0045,secure-login-update.net,URGENT EM-0045: Account user-45 suspended in 46 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0046,hr-portal.org,Your order #48046 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0047,company.com,Reminder REF-47: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0048,shop-retail.com,Project kickoff notes for initiative P-48 are in /shared/projects/48. Please review action items by EOD.,Legitimate
EM-0049,account-alert-secure.com,Mailbox 49: Your subscription payment failed. Update billing at bank-verify-now.io within 2 hours or lose access.,Phishing
EM-0050,shop-retail.com,"Hi team, sprint 3 review is scheduled for Monday at 7pm in conference room C. Agenda attached.",Legitimate
EM-0051,secure-login-update.net,Invoice INV-8051 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0052,company.com,Reminder REF-52: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0053,university.edu,Project kickoff notes for initiative P-53 are in /shared/projects/3. Please review action items by EOD.,Legitimate
EM-0054,company.com,IT ticket #1054 resolved. Your laptop patch KB-54 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0055,shop-retail.com,"Hi team, sprint 8 review is scheduled for Monday at 1pm in conference room B. Agenda attached.",Legitimate
EM-0056,hr-portal.org,Your order #48056 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0057,bank-verify-now.io,Security alert #57: unusual sign-in detected in region 4. Reset your banking PIN now before funds are locked.,Phishing
EM-0058,hr-portal.org,Project kickoff notes for initiative P-58 are in /shared/projects/8. Please review action items by EOD.,Legitimate
EM-0059,hr-portal.org,IT ticket #1059 resolved. Your laptop patch KB-59 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0060,account-alert-secure.com,URGENT EM-0060: Account user-60 suspended in 14 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0061,invoice-pay-center.biz,Invoice INV-8061 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0062,account-alert-secure.com,Security alert #62: unusual sign-in detected in region 9. Reset your banking PIN now before funds are locked.,Phishing
EM-0063,hr-portal.org,Project kickoff notes for initiative P-63 are in /shared/projects/13. Please review action items by EOD.,Legitimate
EM-0064,secure-login-update.net,Mailbox 64: Your subscription payment failed. Update billing at bank-verify-now.io within 5 hours or lose access.,Phishing
EM-0065,bank-verify-now.io,URGENT EM-0065: Account user-65 suspended in 19 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0066,shop-retail.com,Your order #48066 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0067,university.edu,Reminder REF-67: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0068,company.com,Project kickoff notes for initiative P-68 are in /shared/projects/18. Please review action items by EOD.,Legitimate
EM-0069,company.com,IT ticket #1069 resolved. Your laptop patch KB-69 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0070,shop-retail.com,"Hi team, sprint 11 review is scheduled for Monday at 5pm in conference room E. Agenda attached.",Legitimate
EM-0071,secure-login-update.net,Invoice INV-8071 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0072,hr-portal.org,Reminder REF-72: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0073,hr-portal.org,Project kickoff notes for initiative P-73 are in /shared/projects/23. Please review action items by EOD.,Legitimate
EM-0074,bank-verify-now.io,Mailbox 74: Your subscription payment failed. Update billing at bank-verify-now.io within 3 hours or lose access.,Phishing
EM-0075,university.edu,"Hi team, sprint 4 review is scheduled for Monday at 10pm in conference room D. Agenda attached.",Legitimate
EM-0076,hr-portal.org,Your order #48076 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0077,university.edu,Reminder REF-77: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0078,secure-login-update.net,Congratulations! Prize code WIN-78 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0079,hr-portal.org,IT ticket #1079 resolved. Your laptop patch KB-79 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0080,bank-verify-now.io,URGENT EM-0080: Account user-80 suspended in 34 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0081,secure-login-update.net,Invoice INV-8081 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0082,company.com,Reminder REF-82: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0083,bank-verify-now.io,Congratulations! Prize code WIN-83 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0084,account-alert-secure.com,Mailbox 84: Your subscription payment failed. Update billing at bank-verify-now.io within 1 hours or lose access.,Phishing
EM-0085,invoice-pay-center.biz,URGENT EM-0085: Account user-85 suspended in 39 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0086,invoice-pay-center.biz,Invoice INV-8086 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0087,university.edu,Reminder REF-87: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0088,shop-retail.com,Project kickoff notes for initiative P-88 are in /shared/projects/38. Please review action items by EOD.,Legitimate
EM-0089,secure-login-update.net,Mailbox 89: Your subscription payment failed. Update billing at bank-verify-now.io within 6 hours or lose access.,Phishing
EM-0090,shop-retail.com,"Hi team, sprint 7 review is scheduled for Monday at 3pm in conference room A. Agenda attached.",Legitimate
EM-0091,hr-portal.org,Your order #48091 has shipped via route 11. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0092,bank-verify-now.io,Security alert #92: unusual sign-in detected in region 3. Reset your banking PIN now before funds are locked.,Phishing
EM-0093,university.edu,Project kickoff notes for initiative P-93 are in /shared/projects/43. Please review action items by EOD.,Legitimate
EM-0094,bank-verify-now.io,Mailbox 94: Your subscription payment failed. Update billing at bank-verify-now.io within 11 hours or lose access.,Phishing
EM-0095,shop-retail.com,"Hi team, sprint 12 review is scheduled for Monday at 8pm in conference room F. Agenda attached.",Legitimate
EM-0096,company.com,Your order #48096 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0097,company.com,Reminder REF-97: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0098,company.com,Project kickoff notes for initiative P-98 are in /shared/projects/48. Please review action items by EOD.,Legitimate
EM-0099,bank-verify-now.io,Mailbox 99: Your subscription payment failed. Update billing at bank-verify-now.io within 4 hours or lose access.,Phishing
EM-0100,secure-login-update.net,URGENT EM-0100: Account user-100 suspended in 7 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0101,university.edu,Your order #48101 has shipped via route 1. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0102,shop-retail.com,Reminder REF-102: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0103,shop-retail.com,Project kickoff notes for initiative P-103 are in /shared/projects/3. Please review action items by EOD.,Legitimate
EM-0104,account-alert-secure.com,Mailbox 104: Your subscription payment failed. Update billing at bank-verify-now.io within 9 hours or lose access.,Phishing
EM-0105,university.edu,"Hi team, sprint 10 review is scheduled for Monday at 7pm in conference room D. Agenda attached.",Legitimate
EM-0106,bank-verify-now.io,Invoice INV-8106 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0107,company.com,Reminder REF-107: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0108,invoice-pay-center.biz,Congratulations! Prize code WIN-108 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0109,company.com,IT ticket #1109 resolved. Your laptop patch KB-109 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0110,shop-retail.com,"Hi team, sprint 3 review is scheduled for Monday at 1pm in conference room C. Agenda attached.",Legitimate
EM-0111,invoice-pay-center.biz,Invoice INV-8111 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0112,bank-verify-now.io,Security alert #112: unusual sign-in detected in region 5. Reset your banking PIN now before funds are locked.,Phishing
EM-0113,shop-retail.com,Project kickoff notes for initiative P-113 are in /shared/projects/13. Please review action items by EOD.,Legitimate
EM-0114,bank-verify-now.io,Mailbox 114: Your subscription payment failed. Update billing at bank-verify-now.io within 7 hours or lose access.,Phishing
EM-0115,shop-retail.com,"Hi team, sprint 8 review is scheduled for Monday at 6pm in conference room B. Agenda attached.",Legitimate
EM-0116,shop-retail.com,Your order #48116 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0117,university.edu,Reminder REF-117: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0118,university.edu,Project kickoff notes for initiative P-118 are in /shared/projects/18. Please review action items by EOD.,Legitimate
EM-0119,bank-verify-now.io,Mailbox 119: Your subscription payment failed. Update billing at bank-verify-now.io within 12 hours or lose access.,Phishing
EM-0120,bank-verify-now.io,URGENT EM-0120: Account user-120 suspended in 27 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0121,invoice-pay-center.biz,Invoice INV-8121 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0122,shop-retail.com,Reminder REF-122: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0123,invoice-pay-center.biz,Congratulations! Prize code WIN-123 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0124,university.edu,IT ticket #1124 resolved. Your laptop patch KB-124 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0125,bank-verify-now.io,URGENT EM-0125: Account user-125 suspended in 32 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0126,shop-retail.com,Your order #48126 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0127,bank-verify-now.io,Security alert #127: unusual sign-in detected in region 2. Reset your banking PIN now before funds are locked.,Phishing
EM-0128,invoice-pay-center.biz,Congratulations! Prize code WIN-128 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0129,university.edu,IT ticket #1129 resolved. Your laptop patch KB-129 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0130,university.edu,"Hi team, sprint 11 review is scheduled for Monday at 10pm in conference room E. Agenda attached.",Legitimate
EM-0131,shop-retail.com,Your order #48131 has shipped via route 11. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0132,account-alert-secure.com,Security alert #132: unusual sign-in detected in region 7. Reset your banking PIN now before funds are locked.,Phishing
EM-0133,hr-portal.org,Project kickoff notes for initiative P-133 are in /shared/projects/33. Please review action items by EOD.,Legitimate
EM-0134,company.com,IT ticket #1134 resolved. Your laptop patch KB-134 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0135,university.edu,"Hi team, sprint 4 review is scheduled for Monday at 4pm in conference room D. Agenda attached.",Legitimate
EM-0136,account-alert-secure.com,Invoice INV-8136 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0137,hr-portal.org,Reminder REF-137: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0138,invoice-pay-center.biz,Congratulations! Prize code WIN-138 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0139,account-alert-secure.com,Mailbox 139: Your subscription payment failed. Update billing at bank-verify-now.io within 8 hours or lose access.,Phishing
EM-0140,invoice-pay-center.biz,URGENT EM-0140: Account user-140 suspended in 47 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0141,university.edu,Your order #48141 has shipped via route 1. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0142,company.com,Reminder REF-142: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0143,account-alert-secure.com,Congratulations! Prize code WIN-143 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0144,account-alert-secure.com,Mailbox 144: Your subscription payment failed. Update billing at bank-verify-now.io within 1 hours or lose access.,Phishing
EM-0145,shop-retail.com,"Hi team, sprint 2 review is scheduled for Monday at 3pm in conference room B. Agenda attached.",Legitimate
EM-0146,hr-portal.org,Your order #48146 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0147,company.com,Reminder REF-147: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0148,company.com,Project kickoff notes for initiative P-148 are in /shared/projects/48. Please review action items by EOD.,Legitimate
EM-0149,shop-retail.com,IT ticket #1149 resolved. Your laptop patch KB-149 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0150,company.com,"Hi team, sprint 7 review is scheduled for Monday at 8pm in conference room A. Agenda attached.",Legitimate
EM-0151,account-alert-secure.com,Invoice INV-8151 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0152,company.com,Reminder REF-152: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0153,shop-retail.com,Project kickoff notes for initiative P-153 are in /shared/projects/3. Please review action items by EOD.,Legitimate
EM-0154,invoice-pay-center.biz,Mailbox 154: Your subscription payment failed. Update billing at bank-verify-now.io within 11 hours or lose access.,Phishing
EM-0155,hr-portal.org,"Hi team, sprint 12 review is scheduled for Monday at 2pm in conference room F. Agenda attached.",Legitimate
EM-0156,shop-retail.com,Your order #48156 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0157,invoice-pay-center.biz,Security alert #157: unusual sign-in detected in region 5. Reset your banking PIN now before funds are locked.,Phishing
EM-0158,bank-verify-now.io,Congratulations! Prize code WIN-158 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0159,shop-retail.com,IT ticket #1159 resolved. Your laptop patch KB-159 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0160,bank-verify-now.io,URGENT EM-0160: Account user-160 suspended in 20 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0161,account-alert-secure.com,Invoice INV-8161 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0162,company.com,Reminder REF-162: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0163,secure-login-update.net,Congratulations! Prize code WIN-163 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0164,invoice-pay-center.biz,Mailbox 164: Your subscription payment failed. Update billing at bank-verify-now.io within 9 hours or lose access.,Phishing
EM-0165,secure-login-update.net,URGENT EM-0165: Account user-165 suspended in 25 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0166,university.edu,Your order #48166 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0167,university.edu,Reminder REF-167: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0168,bank-verify-now.io,Congratulations! Prize code WIN-168 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0169,invoice-pay-center.biz,Mailbox 169: Your subscription payment failed. Update billing at bank-verify-now.io within 2 hours or lose access.,Phishing
EM-0170,hr-portal.org,"Hi team, sprint 3 review is scheduled for Monday at 6pm in conference room C. Agenda attached.",Legitimate
EM-0171,account-alert-secure.com,Invoice INV-8171 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0172,account-alert-secure.com,Security alert #172: unusual sign-in detected in region 2. Reset your banking PIN now before funds are locked.,Phishing
EM-0173,hr-portal.org,Project kickoff notes for initiative P-173 are in /shared/projects/23. Please review action items by EOD.,Legitimate
EM-0174,company.com,IT ticket #1174 resolved. Your laptop patch KB-174 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0175,university.edu,"Hi team, sprint 8 review is scheduled for Monday at 11pm in conference room B. Agenda attached.",Legitimate
EM-0176,university.edu,Your order #48176 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0177,account-alert-secure.com,Security alert #177: unusual sign-in detected in region 7. Reset your banking PIN now before funds are locked.,Phishing
EM-0178,shop-retail.com,Project kickoff notes for initiative P-178 are in /shared/projects/28. Please review action items by EOD.,Legitimate
EM-0179,university.edu,IT ticket #1179 resolved. Your laptop patch KB-179 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0180,shop-retail.com,"Hi team, sprint 1 review is scheduled for Monday at 5pm in conference room A. Agenda attached.",Legitimate
EM-0181,university.edu,Your order #48181 has shipped via route 1. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0182,university.edu,Reminder REF-182: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0183,bank-verify-now.io,Congratulations! Prize code WIN-183 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0184,company.com,IT ticket #1184 resolved. Your laptop patch KB-184 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0185,account-alert-secure.com,URGENT EM-0185: Account user-185 suspended in 45 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0186,university.edu,Your order #48186 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0187,shop-retail.com,Reminder REF-187: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0188,shop-retail.com,Project kickoff notes for initiative P-188 are in /shared/projects/38. Please review action items by EOD.,Legitimate
EM-0189,shop-retail.com,IT ticket #1189 resolved. Your laptop patch KB-189 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0190,account-alert-secure.com,URGENT EM-0190: Account user-190 suspended in 3 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0191,account-alert-secure.com,Invoice INV-8191 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0192,bank-verify-now.io,Security alert #192: unusual sign-in detected in region 4. Reset your banking PIN now before funds are locked.,Phishing
EM-0193,secure-login-update.net,Congratulations! Prize code WIN-193 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0194,company.com,IT ticket #1194 resolved. Your laptop patch KB-194 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0195,shop-retail.com,"Hi team, sprint 4 review is scheduled for Monday at 9pm in conference room D. Agenda attached.",Legitimate
EM-0196,company.com,Your order #48196 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0197,university.edu,Reminder REF-197: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0198,secure-login-update.net,Congratulations! Prize code WIN-198 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0199,shop-retail.com,IT ticket #1199 resolved. Your laptop patch KB-199 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0200,shop-retail.com,"Hi team, sprint 9 review is scheduled for Monday at 3pm in conference room C. Agenda attached.",Legitimate
EM-0201,invoice-pay-center.biz,Invoice INV-8201 is overdue. Confirm your password on invoice-pay-center.biz to avoid legal action by Tuesday.,Phishing
EM-0202,hr-portal.org,Reminder REF-202: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0203,hr-portal.org,Project kickoff notes for initiative P-203 are in /shared/projects/3. Please review action items by EOD.,Legitimate
EM-0204,account-alert-secure.com,Mailbox 204: Your subscription payment failed. Update billing at bank-verify-now.io within 1 hours or lose access.,Phishing
EM-0205,hr-portal.org,"Hi team, sprint 2 review is scheduled for Monday at 8pm in conference room B. Agenda attached.",Legitimate
EM-0206,hr-portal.org,Your order #48206 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0207,company.com,Reminder REF-207: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0208,shop-retail.com,Project kickoff notes for initiative P-208 are in /shared/projects/8. Please review action items by EOD.,Legitimate
EM-0209,shop-retail.com,IT ticket #1209 resolved. Your laptop patch KB-9 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0210,university.edu,"Hi team, sprint 7 review is scheduled for Monday at 2pm in conference room A. Agenda attached.",Legitimate
EM-0211,hr-portal.org,Your order #48211 has shipped via route 11. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0212,shop-retail.com,Reminder REF-212: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0213,company.com,Project kickoff notes for initiative P-213 are in /shared/projects/13. Please review action items by EOD.,Legitimate
EM-0214,company.com,IT ticket #1214 resolved. Your laptop patch KB-14 installed successfully. Contact helpdesk with questions.,Legitimate
EM-0215,bank-verify-now.io,URGENT EM-0215: Account user-215 suspended in 28 hours. Verify credentials at secure-login-update.net immediately.,Phishing
EM-0216,university.edu,Your order #48216 has shipped via route 16. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0217,bank-verify-now.io,Security alert #217: unusual sign-in detected in region 2. Reset your banking PIN now before funds are locked.,Phishing
EM-0218,hr-portal.org,Project kickoff notes for initiative P-218 are in /shared/projects/18. Please review action items by EOD.,Legitimate
EM-0219,secure-login-update.net,Mailbox 219: Your subscription payment failed. Update billing at bank-verify-now.io within 4 hours or lose access.,Phishing
EM-0220,company.com,"Hi team, sprint 5 review is scheduled for Monday at 1pm in conference room E. Agenda attached.",Legitimate
EM-0221,hr-portal.org,Your order #48221 has shipped via route 1. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
EM-0222,university.edu,Reminder REF-222: annual benefits enrollment closes Wednesday. Visit the HR portal to update your selections.,Legitimate
EM-0223,invoice-pay-center.biz,Congratulations! Prize code WIN-223 expires in 5 hours. Provide card details at account-alert-secure.com to claim.,Phishing
EM-0224,bank-verify-now.io,Mailbox 224: Your subscription payment failed. Update billing at bank-verify-now.io within 9 hours or lose access.,Phishing
EM-0225,hr-portal.org,"Hi team, sprint 10 review is scheduled for Monday at 6pm in conference room D. Agenda attached.",Legitimate
EM-0226,company.com,Your order #48226 has shipped via route 6. Track delivery in your account dashboard. Thank you for your purchase.,Legitimate
