inspection_id,product_line,shift,qa_report,defect_severity
QA-0075,Industrial pump,Night,Line audit 75: torque variance on Industrial pump assembly; 1 units exceed upper control limit.,Major
QA-0076,Automotive sensor,Day,QA-0076: Automotive sensor lot L-76 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0077,Medical device housing,Evening,Hold 77: Medical device housing weld crack on bracket batch W-17. Full lot recall recommended.,Critical
QA-0078,Hydraulic valve,Night,QA-0078: Hydraulic valve lot L-78 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0079,Hydraulic valve,Evening,Inspection 79: surface finish on Hydraulic valve batch B-39 slightly below spec on non-critical panel.,Minor
QA-0080,Automotive sensor,Day,QA-0080: Automotive sensor lot L-80 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0081,Industrial pump,Evening,Inspection 81: surface finish on Industrial pump batch B-1 slightly below spec on non-critical panel.,Minor
QA-0082,Hydraulic valve,Night,QA-0082: Hydraulic valve unit 82 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0083,PCB module,Night,Line audit 83: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0084,Medical device housing,Night,QA-0084: Medical device housing lot L-84 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0085,Automotive sensor,Day,Hold 85: Automotive sensor weld crack on bracket batch W-25. Full lot recall recommended.,Critical
QA-0086,PCB module,Day,CRITICAL QA-0086: PCB module serial 86 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0087,Industrial pump,Day,Inspection 87: surface finish on Industrial pump batch B-7 slightly below spec on non-critical panel.,Minor
QA-0088,PCB module,Night,QA-0088: PCB module unit 88 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0089,Hydraulic valve,Evening,Inspection 89: surface finish on Hydraulic valve batch B-9 slightly below spec on non-critical panel.,Minor
QA-0090,Medical device housing,Day,CRITICAL QA-0090: Medical device housing serial 90 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0091,Industrial pump,Day,Inspection 91: surface finish on Industrial pump batch B-11 slightly below spec on non-critical panel.,Minor
QA-0092,Industrial pump,Evening,CRITICAL QA-0092: Industrial pump serial 92 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0093,Medical device housing,Evening,Inspection 93: surface finish on Medical device housing batch B-13 slightly below spec on non-critical panel.,Minor
QA-0094,Automotive sensor,Night,QA-0094: Automotive sensor unit 94 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0095,Medical device housing,Evening,Line audit 95: torque variance on Medical device housing assembly; 1 units exceed upper control limit.,Major
QA-0096,PCB module,Night,QA-0096: PCB module lot L-96 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0097,Industrial pump,Night,Inspection 97: surface finish on Industrial pump batch B-17 slightly below spec on non-critical panel.,Minor
QA-0098,Industrial pump,Day,QA-0098: Industrial pump unit 98 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0099,PCB module,Evening,Hold 99: PCB module weld crack on bracket batch W-9. Full lot recall recommended.,Critical
QA-0100,Industrial pump,Day,CRITICAL QA-0100: Industrial pump serial 100 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0101,PCB module,Day,Inspection 101: surface finish on PCB module batch B-21 slightly below spec on non-critical panel.,Minor
QA-0102,PCB module,Evening,QA-0102: PCB module unit 102 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0103,Medical device housing,Day,Line audit 103: torque variance on Medical device housing assembly; 4 units exceed upper control limit.,Major
QA-0104,Automotive sensor,Day,QA-0104: Automotive sensor lot L-104 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0105,Medical device housing,Evening,Hold 105: Medical device housing weld crack on bracket batch W-15. Full lot recall recommended.,Critical
QA-0106,Automotive sensor,Evening,QA-0106: Automotive sensor unit 106 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0107,Medical device housing,Evening,Hold 107: Medical device housing weld crack on bracket batch W-17. Full lot recall recommended.,Critical
QA-0108,PCB module,Evening,QA-0108: PCB module unit 108 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0109,Industrial pump,Evening,Hold 109: Industrial pump weld crack on bracket batch W-19. Full lot recall recommended.,Critical
QA-0110,Automotive sensor,Evening,QA-0110: Automotive sensor lot L-110 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0111,Medical device housing,Night,Hold 111: Medical device housing weld crack on bracket batch W-21. Full lot recall recommended.,Critical
QA-0112,PCB module,Night,QA-0112: PCB module unit 112 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0113,Automotive sensor,Day,Line audit 113: torque variance on Automotive sensor assembly; 4 units exceed upper control limit.,Major
QA-0114,Automotive sensor,Evening,QA-0114: Automotive sensor unit 114 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0115,Medical device housing,Night,Inspection 115: surface finish on Medical device housing batch B-35 slightly below spec on non-critical panel.,Minor
QA-0116,Automotive sensor,Night,QA-0116: Automotive sensor unit 116 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0117,Industrial pump,Day,Inspection 117: surface finish on Industrial pump batch B-37 slightly below spec on non-critical panel.,Minor
QA-0118,PCB module,Day,QA-0118: PCB module lot L-118 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0119,Hydraulic valve,Day,Line audit 119: torque variance on Hydraulic valve assembly; 5 units exceed upper control limit.,Major
QA-0120,Medical device housing,Day,QA-0120: Medical device housing lot L-120 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0121,Hydraulic valve,Day,Inspection 121: surface finish on Hydraulic valve batch B-1 slightly below spec on non-critical panel.,Minor
QA-0122,Industrial pump,Evening,CRITICAL QA-0122: Industrial pump serial 122 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0123,Medical device housing,Day,Inspection 123: surface finish on Medical device housing batch B-3 slightly below spec on non-critical panel.,Minor
QA-0124,Automotive sensor,Day,QA-0124: Automotive sensor unit 124 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0125,Industrial pump,Day,Line audit 125: torque variance on Industrial pump assembly; 1 units exceed upper control limit.,Major
QA-0126,Medical device housing,Evening,QA-0126: Medical device housing lot L-126 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0127,PCB module,Evening,Inspection 127: surface finish on PCB module batch B-7 slightly below spec on non-critical panel.,Minor
QA-0128,Automotive sensor,Night,CRITICAL QA-0128: Automotive sensor serial 128 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0129,Hydraulic valve,Day,Inspection 129: surface finish on Hydraulic valve batch B-9 slightly below spec on non-critical panel.,Minor
QA-0130,Medical device housing,Evening,QA-0130: Medical device housing lot L-130 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0131,Automotive sensor,Day,Inspection 131: surface finish on Automotive sensor batch B-11 slightly below spec on non-critical panel.,Minor
QA-0132,PCB module,Day,QA-0132: PCB module lot L-132 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0133,Hydraulic valve,Night,Line audit 133: torque variance on Hydraulic valve assembly; 4 units exceed upper control limit.,Major
QA-0134,Industrial pump,Day,QA-0134: Industrial pump unit 134 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0135,Automotive sensor,Day,Line audit 135: torque variance on Automotive sensor assembly; 1 units exceed upper control limit.,Major
QA-0136,PCB module,Day,QA-0136: PCB module unit 136 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0137,PCB module,Day,Line audit 137: torque variance on PCB module assembly; 3 units exceed upper control limit.,Major
QA-0138,Medical device housing,Day,QA-0138: Medical device housing lot L-138 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0139,Hydraulic valve,Day,Line audit 139: torque variance on Hydraulic valve assembly; 5 units exceed upper control limit.,Major
QA-0140,PCB module,Night,CRITICAL QA-0140: PCB module serial 140 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0141,PCB module,Night,Inspection 141: surface finish on PCB module batch B-21 slightly below spec on non-critical panel.,Minor
QA-0142,PCB module,Night,QA-0142: PCB module unit 142 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0143,Medical device housing,Night,Line audit 143: torque variance on Medical device housing assembly; 4 units exceed upper control limit.,Major
QA-0144,Industrial pump,Night,QA-0144: Industrial pump unit 144 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0145,PCB module,Day,Line audit 145: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0146,PCB module,Evening,QA-0146: PCB module lot L-146 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0147,Medical device housing,Night,Inspection 147: surface finish on Medical device housing batch B-27 slightly below spec on non-critical panel.,Minor
QA-0148,Medical device housing,Evening,CRITICAL QA-0148: Medical device housing serial 148 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0149,Industrial pump,Evening,Hold 149: Industrial pump weld crack on bracket batch W-29. Full lot recall recommended.,Critical
QA-0150,Automotive sensor,Evening,QA-0150: Automotive sensor unit 150 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0151,Medical device housing,Evening,Inspection 151: surface finish on Medical device housing batch B-31 slightly below spec on non-critical panel.,Minor
QA-0152,Hydraulic valve,Evening,CRITICAL QA-0152: Hydraulic valve serial 152 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0153,Medical device housing,Evening,Hold 153: Medical device housing weld crack on bracket batch W-3. Full lot recall recommended.,Critical
QA-0154,Medical device housing,Evening,CRITICAL QA-0154: Medical device housing serial 154 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0155,PCB module,Evening,Line audit 155: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0156,PCB module,Evening,CRITICAL QA-0156: PCB module serial 156 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0157,Industrial pump,Night,Inspection 157: surface finish on Industrial pump batch B-37 slightly below spec on non-critical panel.,Minor
QA-0158,PCB module,Night,QA-0158: PCB module unit 158 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0159,Medical device housing,Night,Inspection 159: surface finish on Medical device housing batch B-39 slightly below spec on non-critical panel.,Minor
QA-0160,Medical device housing,Night,QA-0160: Medical device housing lot L-160 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0161,Hydraulic valve,Evening,Inspection 161: surface finish on Hydraulic valve batch B-1 slightly below spec on non-critical panel.,Minor
QA-0162,Hydraulic valve,Evening,CRITICAL QA-0162: Hydraulic valve serial 162 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0163,Industrial pump,Day,Line audit 163: torque variance on Industrial pump assembly; 4 units exceed upper control limit.,Major
QA-0164,PCB module,Day,QA-0164: PCB module unit 164 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0165,Hydraulic valve,Evening,Line audit 165: torque variance on Hydraulic valve assembly; 1 units exceed upper control limit.,Major
QA-0166,Hydraulic valve,Day,QA-0166: Hydraulic valve unit 166 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0167,Medical device housing,Day,Inspection 167: surface finish on Medical device housing batch B-7 slightly below spec on non-critical panel.,Minor
QA-0168,PCB module,Evening,CRITICAL QA-0168: PCB module serial 168 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0169,Medical device housing,Day,Hold 169: Medical device housing weld crack on bracket batch W-19. Full lot recall recommended.,Critical
QA-0170,Medical device housing,Night,QA-0170: Medical device housing unit 170 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0171,Medical device housing,Night,Inspection 171: surface finish on Medical device housing batch B-11 slightly below spec on non-critical panel.,Minor
QA-0172,Hydraulic valve,Night,QA-0172: Hydraulic valve lot L-172 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0173,PCB module,Day,Line audit 173: torque variance on PCB module assembly; 4 units exceed upper control limit.,Major
QA-0174,Medical device housing,Evening,QA-0174: Medical device housing unit 174 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0175,Medical device housing,Day,Hold 175: Medical device housing weld crack on bracket batch W-25. Full lot recall recommended.,Critical
QA-0176,PCB module,Night,QA-0176: PCB module unit 176 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0177,Hydraulic valve,Day,Line audit 177: torque variance on Hydraulic valve assembly; 3 units exceed upper control limit.,Major
QA-0178,Automotive sensor,Day,QA-0178: Automotive sensor lot L-178 solder bridge on control board affecting 4% of units. Rework queue initiated.,Major
QA-0179,Automotive sensor,Day,Inspection 179: surface finish on Automotive sensor batch B-19 slightly below spec on non-critical panel.,Minor
QA-0180,Industrial pump,Evening,CRITICAL QA-0180: Industrial pump serial 180 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0181,Industrial pump,Day,Inspection 181: surface finish on Industrial pump batch B-21 slightly below spec on non-critical panel.,Minor
QA-0182,Medical device housing,Day,QA-0182: Medical device housing unit 182 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0183,Industrial pump,Evening,Line audit 183: torque variance on Industrial pump assembly; 4 units exceed upper control limit.,Major
QA-0184,Hydraulic valve,Evening,CRITICAL QA-0184: Hydraulic valve serial 184 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0185,PCB module,Day,Inspection 185: surface finish on PCB module batch B-25 slightly below spec on non-critical panel.,Minor
QA-0186,Industrial pump,Night,QA-0186: Industrial pump unit 186 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0187,Medical device housing,Day,Hold 187: Medical device housing weld crack on bracket batch W-7. Full lot recall recommended.,Critical
QA-0188,Medical device housing,Night,QA-0188: Medical device housing unit 188 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0189,Hydraulic valve,Night,Inspection 189: surface finish on Hydraulic valve batch B-29 slightly below spec on non-critical panel.,Minor
QA-0190,Hydraulic valve,Night,QA-0190: Hydraulic valve lot L-190 solder bridge on control board affecting 1% of units. Rework queue initiated.,Major
QA-0191,Industrial pump,Day,Line audit 191: torque variance on Industrial pump assembly; 2 units exceed upper control limit.,Major
QA-0192,Automotive sensor,Day,QA-0192: Automotive sensor lot L-192 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0193,PCB module,Day,Inspection 193: surface finish on PCB module batch B-33 slightly below spec on non-critical panel.,Minor
QA-0194,Medical device housing,Evening,CRITICAL QA-0194: Medical device housing serial 194 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0195,PCB module,Day,Line audit 195: torque variance on PCB module assembly; 1 units exceed upper control limit.,Major
QA-0196,Hydraulic valve,Evening,QA-0196: Hydraulic valve lot L-196 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0197,PCB module,Day,Line audit 197: torque variance on PCB module assembly; 3 units exceed upper control limit.,Major
QA-0198,PCB module,Evening,CRITICAL QA-0198: PCB module serial 198 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0199,Hydraulic valve,Evening,Inspection 199: surface finish on Hydraulic valve batch B-39 slightly below spec on non-critical panel.,Minor
QA-0200,Automotive sensor,Day,CRITICAL QA-0200: Automotive sensor serial 200 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0201,Medical device housing,Evening,Inspection 201: surface finish on Medical device housing batch B-1 slightly below spec on non-critical panel.,Minor
QA-0202,PCB module,Day,CRITICAL QA-0202: PCB module serial 202 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0203,Medical device housing,Evening,Hold 203: Medical device housing weld crack on bracket batch W-23. Full lot recall recommended.,Critical
QA-0204,Industrial pump,Day,QA-0204: Industrial pump lot L-204 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0205,Industrial pump,Evening,Line audit 205: torque variance on Industrial pump assembly; 1 units exceed upper control limit.,Major
QA-0206,Automotive sensor,Night,QA-0206: Automotive sensor lot L-206 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0207,PCB module,Evening,Hold 207: PCB module weld crack on bracket batch W-27. Full lot recall recommended.,Critical
QA-0208,Industrial pump,Evening,QA-0208: Industrial pump unit 208 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0209,Hydraulic valve,Day,Hold 209: Hydraulic valve weld crack on bracket batch W-29. Full lot recall recommended.,Critical
QA-0210,PCB module,Day,QA-0210: PCB module unit 210 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0211,Automotive sensor,Night,Line audit 211: torque variance on Automotive sensor assembly; 2 units exceed upper control limit.,Major
QA-0212,Industrial pump,Evening,QA-0212: Industrial pump unit 212 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0213,Industrial pump,Night,Inspection 213: surface finish on Industrial pump batch B-13 slightly below spec on non-critical panel.,Minor
QA-0214,PCB module,Evening,QA-0214: PCB module lot L-214 solder bridge on control board affecting 5% of units. Rework queue initiated.,Major
QA-0215,Hydraulic valve,Night,Inspection 215: surface finish on Hydraulic valve batch B-15 slightly below spec on non-critical panel.,Minor
QA-0216,Automotive sensor,Day,QA-0216: Automotive sensor lot L-216 solder bridge on control board affecting 2% of units. Rework queue initiated.,Major
QA-0217,Industrial pump,Evening,Inspection 217: surface finish on Industrial pump batch B-17 slightly below spec on non-critical panel.,Minor
QA-0218,PCB module,Night,QA-0218: PCB module unit 218 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0219,Industrial pump,Evening,Line audit 219: torque variance on Industrial pump assembly; 5 units exceed upper control limit.,Major
QA-0220,Industrial pump,Evening,CRITICAL QA-0220: Industrial pump serial 220 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0221,PCB module,Day,Line audit 221: torque variance on PCB module assembly; 2 units exceed upper control limit.,Major
QA-0222,Industrial pump,Night,QA-0222: Industrial pump lot L-222 solder bridge on control board affecting 3% of units. Rework queue initiated.,Major
QA-0223,Medical device housing,Evening,Line audit 223: torque variance on Medical device housing assembly; 4 units exceed upper control limit.,Major
QA-0224,Automotive sensor,Night,CRITICAL QA-0224: Automotive sensor serial 224 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0225,Automotive sensor,Evening,Hold 225: Automotive sensor weld crack on bracket batch W-15. Full lot recall recommended.,Critical
QA-0226,Hydraulic valve,Day,CRITICAL QA-0226: Hydraulic valve serial 226 safety interlock failed stress test. Stop-ship issued.,Critical
QA-0227,Medical device housing,Day,Hold 227: Medical device housing weld crack on bracket batch W-17. Full lot recall recommended.,Critical
QA-0228,Medical device housing,Evening,QA-0228: Medical device housing unit 228 passed dimensional check with minor cosmetic scratch. No functional impact.,Minor
QA-0229,Automotive sensor,Day,Inspection 229: surface finish on Automotive sensor batch B-29 slightly below spec on non-critical panel.,Minor
